Doc Id	PMID		Sentence	Start Point	End Point	Length	Text	Notes	UMLS Code	UMLS Concept Name	Possible Alternative Codes		
13	10083734	8	An estimated frequency (0.12%) of complete C9 deficiency due to homozygous Arg95Stop mutation was consistent with frequencies determined by serological studies..	44	56	13	C9 deficiency	Textual. No annotation provided for given text. However, search for "C9 deficiency" yields UMLS code C1852676 .		C9 DEFICIENCY	C1852676		
14	10085150	1	HFE is the protein product of the gene mutated in the autosomal recessive disease hereditary hemochromatosis Feder, J. N., Gnirke, A., Thomas, W., Tsuchihashi, Z., Ruddy, D. A., Basava, A., Dormishian, F., Domingo, R. J., Ellis, M. C., Fullan, A., Hinton, L. M., Jones, N. L., Kimmel, B. E., Kronmal, G. S., Lauer, P., Lee, V. K., Loeb, D. B., Mapa, F. A., McClelland, E., Meyer, N. C., Mintier, G. A., Moeller, N., Moore, T., Morikang, E., Prasss, C. E., Quintana, L., Starnes, S. M., Schatzman, R. C., Brunke, K. J., Drayna, D. T., Risch, N. J., Bacon, B. R., and Wolff, R. R. (1996) Nat.	55	81	27	autosomal recessive disease	Textual. This text is what annotation is based on. However it won't yield the annotated code, the code can only be found by querying "autosomal recessive hereditary disorder	C0265388	Autosomal recessive hereditary disorder			
14	10085150	1	HFE is the protein product of the gene mutated in the autosomal recessive disease hereditary hemochromatosis Feder, J. N., Gnirke, A., Thomas, W., Tsuchihashi, Z., Ruddy, D. A., Basava, A., Dormishian, F., Domingo, R. J., Ellis, M. C., Fullan, A., Hinton, L. M., Jones, N. L., Kimmel, B. E., Kronmal, G. S., Lauer, P., Lee, V. K., Loeb, D. B., Mapa, F. A., McClelland, E., Meyer, N. C., Mintier, G. A., Moeller, N., Moore, T., Morikang, E., Prasss, C. E., Quintana, L., Starnes, S. M., Schatzman, R. C., Brunke, K. J., Drayna, D. T., Risch, N. J., Bacon, B. R., and Wolff, R. R. (1996) Nat.	83	108	26	hereditary hemochromatosis	textual - also yields UMLS code for "HFE gene	C0392514	Hereditary hemochromatosis			
15	10094552	1	We have retrospectively analyzed 837 random anonymized dried blood spot (DBS) samples from neonatal screening programs in Scandinavia for mutations in HFE, the candidate gene for hemochromatosis.	180	194	15	hemochromatosis	textual - also yields UMLS code for "HFE gene	C0018995	Hemochromatosis			
16	10190331	3	In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.	182	184	3	EVA	intuitive: The abstract defined "EVA" as "enlarged vestibular aqueduct" a query of "enlarged vestibular aqueduct" yields annotated code		ENLARGED VESTIBULAR AQUEDUCT SYNDROME	C1863752		
16	10190331	3	In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.	87	102	16	Pendred syndrome	textual	C0271829	Pendred syndrome			
16	10190331	3	In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.	150	175	26	sensorineural hearing loss	textual	C0018784	Sensorineural Hearing Loss			
17	10190819	7	METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.	72	74	3	ALD	intuitive: Abstract defines "ALD" as "Adrenoleukodystrophy" search for "ALD" yields 1 of the 2 UMLS codes. It also provides 1 other.	T0000003 - C0162309,C0282525	Adrenoleukodystrophy - Adrenoleukodystrophy, Neonatal			
17	10190819	7	METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.	115	117	3	ALD	intuitive: Abstract defines "ALD" as "Adrenoleukodystrophy" search for "ALD" yields 1 of the 2 UMLS codes. It also provides 1 other.	T0000003 - C0162309,C0282525	Adrenoleukodystrophy - Adrenoleukodystrophy, Neonatal			
17	10190819	7	METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.	140	160	21	adrenomyeloneuropathy	textual	C1527231	Adrenomyeloneuropathy			
18	10192399	4	Pendrin is closely related to a family of sulfate transport proteins that includes the rat sulfate-anion transporter (encoded by Sat-1; 29% amino acid sequence identity), the human diastrophic dysplasia sulfate transporter (encoded by DTD; 32%) and the human sulfate transporter 'downregulated in adenoma' encoded by DRA; 45%.	182	202	21	diastrophic dysplasia	textual	C0220726	Diastrophic dysplasia			
18	10192399	4	Pendrin is closely related to a family of sulfate transport proteins that includes the rat sulfate-anion transporter (encoded by Sat-1; 29% amino acid sequence identity), the human diastrophic dysplasia sulfate transporter (encoded by DTD; 32%) and the human sulfate transporter 'downregulated in adenoma' encoded by DRA; 45%.	298	304	7	adenoma	textual	C0001430	adenoma			
19	10196379	2	To achieve this, we determined the prevalence of BRCA1 alterations in a population-based series of consecutive ovarian cancer cases.	112	125	14	ovarian cancer	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
20	10196379	3	This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region.	36	49	14	ovarian cancer	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
21	10196379	4	One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing.	23	36	14	ovarian cancer	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
22	10198641	1	Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers.	75	100	26	breast and ovarian cancers	intuitive: list is present, a search for "breast cancer" yields 2 of the 4 UMLS codes (C0678222 and C0006142). C0007104 (Female breast caricinoma) must be found intuitively since the text mentions women. I don't know why C0238033 was included as it is the code for Carcinoma of Male Breast.	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
22	10198641	1	Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers.	86	100	15	ovarian cancers	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
23	10200300	1	Heterozygous mutations in the CD95 (APO-1/Fas) receptor occur in most individuals with autoimmune lymphoproliferative syndrome (ALPS) and dominantly interfere with apoptosis by an unknown mechanism.	129	132	4	ALPS	textual - yields correct UMLS code, however, also yields 13 others	C1328840	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME			
23	10200300	1	Heterozygous mutations in the CD95 (APO-1/Fas) receptor occur in most individuals with autoimmune lymphoproliferative syndrome (ALPS) and dominantly interfere with apoptosis by an unknown mechanism.	88	126	39	autoimmune lymphoproliferative syndrome	textual	C1328840	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME			
24	10208848	1	Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.	16	17	2	FD	textual, although FD does not correspond to Fabry Disease in the UMLS	C0002986	Fabry Disease			
24	10208848	1	Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.	1	13	13	Fabry disease	textual	C0002986	Fabry Disease			
24	10208848	1	Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.	21	51	31	angiokeratoma corporis diffusum	textual	C0002986	Fabry Disease			
24	10208848	1	Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.	69	112	44	inborn error of glycosphingolipid metabolism	intuitive: code can be found by searching "inborn error of metabolism	C0025521	Inborn Errors of Metabolism			
25	10220405	1	Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer.	107	131	25	breast and ovarian cancer	intuitive: list is present, a search for "breast cancer" yields 2 of the 4 UMLS codes (C0678222 and C0006142).  C0007104 (Female breast caricinoma) and C0238033 (Carcinoma of Male Breast) must be found intuitively based on what sex you are looking for.	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
25	10220405	1	Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer.	118	131	14	ovarian cancer	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
26	102474	2	No clinical disease was associated with this deficiency which was transmitted through the subject's family as a single genetic characteristic, the C6 deficiency being associated with a silent allele at the structural locus.	148	160	13	C6 deficiency	textual - however, yields UMLS code for C6 gene	C0398767	Complement 6 deficiency			
27	10330348	1	Mutations resulting in defective splicing constitute a significant proportion 30/62 48% of a new series of mutations in the ATM gene in patients with ataxia-telangiectasia (AT) that were detected by the protein-truncation assay followed by sequence analysis of genomic DNA.	174	175	2	AT	textual - yields correct code but also 7 other UMLS codes	C0004135	Ataxia Telangiectasia			
27	10330348	1	Mutations resulting in defective splicing constitute a significant proportion 30/62 48% of a new series of mutations in the ATM gene in patients with ataxia-telangiectasia (AT) that were detected by the protein-truncation assay followed by sequence analysis of genomic DNA.	151	171	21	ataxia-telangiectasia	textual	C0004135	Ataxia Telangiectasia			
28	10353787	1	Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.	25	27	3	AGU	textual - does not provide code for Aspartylglucosaminuria, yields code for "AGA gene	C0268225	Aspartylglucosaminuria			
28	10353787	1	Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.	1	22	22	Aspartylglucosaminuria	textual - provides correct code for Aspartylglucosaminuria, also provides code for "AGA gene	C0268225	Aspartylglucosaminuria			
28	10353787	1	Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.	35	60	26	lysosomal storage disorder	textual	C0085078	Lysosomal Storage Diseases			
28	10353787	1	Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.	72	108	37	deficiency of aspartylglucosaminidase	textual - provides correct code for Aspartylglucosaminuria, also provides code for "AGA gene	C0268225	Aspartylglucosaminuria			
29	10369870	3	Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.	73	105	33	inherited peripheral neuropathies	intuitive: search for "inherited neuropathies" yields code	C0598589	Inherited neuropathies	Peripheral Neuropathy C0031117		
29	10369870	3	Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.	107	132	26	Charcot-Marie-Tooth type 1	textual	C0007959	Charcot-Marie-Tooth Disease			
29	10369870	3	Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.	135	158	24	Dejerine-Sottas syndrome	textual	C0011195	HMSN Type III			
29	10369870	3	Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.	164	200	37	congenital hypomyelinating neuropathy	textual	C0393818	Congenital hypomyelinating neuropathy			
30	10369876	1	Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.	1	44	44	Familial neurohypophyseal diabetes insipidus	intuitive: the only way to get the correct annotation is to search for "Familial central diabetes insipidus" perhaps "neurohypophyseal" refers to the "central" included in the annotation	C0342394	Familial central diabetes insipidus			
30	10369876	1	Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.	52	78	27	autosomal dominant disorder	intuitive: add hereditary in order to get a match	C0265385	Autosomal dominant hereditary disorder			
30	10369876	1	Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.	123	159	37	arginine vasopressin (AVP) deficiency	textual	C0149676	Enzyme Deficiency			
31	10377440	1	A somatic mutation in the X linked PIGA gene is responsible for the deficiency of glycosyl phosphatidylinositol (GPI)-anchored proteins on blood cells from patients with paroxysmal nocturnal hemoglobinuria.	171	205	35	paroxysmal nocturnal hemoglobinuria	textual	C0024790	Paroxysmal nocturnal hemoglobinuria			
33	10382909	1	Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.	93	95	3	EMD	textual. Although does not yield correct UMLS code	C0410189	Muscular Dystrophy, Emery-Dreifuss			
33	10382909	1	Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.	223	225	3	EMD	textual. Although does not yield correct UMLS code	C0410189	Muscular Dystrophy, Emery-Dreifuss			*****
33	10382909	1	Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.	58	90	33	Emery-Dreifuss muscular dystrophy	textual	C0410189	Muscular Dystrophy, Emery-Dreifuss			
34	10398279	7	This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..	36	61	26	breast and ovarian cancers	intuitive: list is present, a search for "breast cancers" yields 2 of the 4 UMLS codes (C0678222 and C0006142).  C0007104 (Female breast caricinoma) and C0238033 (Carcinoma of Male Breast) must be found intuitively based on what sex you are looking for.	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
34	10398279	7	This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..	47	61	15	ovarian cancers	textual - "ovarian cancer" yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
34	10398279	7	This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..	131	145	15	prostate cancer	textual - yields 1 of 2 UMLS codes (Malignant neoplasm of prostate [C0376358]). Provides another possible UMLS code (Prostate carcinoma [C0600139]). The other annotated code, C0936223 [Prostate cancer metastatic] is not yielded by the search.	T0000014- C0936223,C0376358	Malignant neoplasm of prostate - Prostate cancer metastatic	Prostate carcinoma [C0600139]		
35	10406661	6	Sequencing of the index patients' genomic DNA identified four new dominant mutations in COL2A1 that result in Kniest dysplasia: a 21-bp deletion in exon 16, an 18-bp deletion in exon 19, and 4-bp deletions in the splice donor sites of introns 14 and 20.	111	126	16	Kniest dysplasia	textual	C0265279	Kniest dysplasia			
36	10406661	9	These data suggest that Kniest dysplasia results from shorter type II collagen monomers, and support the hypothesis that alteration of a specific COL2A1 domain, which may span from exons 12 to 24, leads to the Kniest dysplasia phenotype..	25	40	16	Kniest dysplasia	textual	C0265279	Kniest dysplasia			
36	10406661	9	These data suggest that Kniest dysplasia results from shorter type II collagen monomers, and support the hypothesis that alteration of a specific COL2A1 domain, which may span from exons 12 to 24, leads to the Kniest dysplasia phenotype..	211	226	16	Kniest dysplasia	textual	C0265279	Kniest dysplasia			
37	10408771	1	Classical galactosemia is caused by a deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase (GALT), which, in turn, is caused by mutations at the GALT gene.	1	22	22	Classical galactosemia	textual	C0268151	Classical galactosemia			
37	10408771	1	Classical galactosemia is caused by a deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase (GALT), which, in turn, is caused by mutations at the GALT gene.	39	115	77	deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase	intuitive: search of "enzyme deficiency" yields correct UMLS code	C0149676	Enzyme Deficiency			
38	10408776	1	To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.	30	60	31	somatic von Hippel-Lindau (VHL)	intuitive	T0000009 - C0241952,C0019562	INTRACRANIAL NEOPLASM, VON HIPPEL-LINDAU DISEASE - Von Hippel-Lindau Syndrome	Somatic dysfunction C0264202		
38	10408776	1	To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.	57	59	3	VHL	textual - finds 1 of 2 UMLS codes (C0019562). Also yields 2 other UMLS codes.	T0000009 - C0241952,C0019562	INTRACRANIAL NEOPLASM, VON HIPPEL-LINDAU DISEASE - Von Hippel-Lindau Syndrome			
38	10408776	1	To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.	112	132	21	renal cell carcinomas	textual - yields 1 of 2 UMLS codes ( [ C0007134 ] Renal Cell Carcinoma).  I did not have the expertise to know why "Clear cell renal cell carcinoma" was annotated	T0000007 - C0007134, C0279702	Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma			
39	10408776	5	VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.	1	3	3	VHL	intuitive: abstract defines "VHL" as von Hippel-Lindau yields UMLS code C0019562, however, also yields 2 other UMLS codes.	C0019562	Von Hippel-Lindau Syndrome			
39	10408776	5	VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.	73	75	3	RCC	textual - yields 1 of 2 UMLS codes ( [ C0007134 ] Renal Cell Carcinoma).	T0000007 - C0007134, C0279702	Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma			
39	10408776	5	VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.	51	70	20	renal cell carcinoma	textual - yields 1 of 2 UMLS codes ( [ C0007134 ] Renal Cell Carcinoma).	T0000007 - C0007134, C0279702	Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma			
40	10411929	3	Chediak-Higashi syndrome (CHS) is an inherited disorder caused by mutations in the lysosomal trafficking regulator gene, LYST.	27	29	3	CHS	textual - yields correct code but also yields 5 other UMLS codes	C0007965	chediak-higashi syndrome			
40	10411929	3	Chediak-Higashi syndrome (CHS) is an inherited disorder caused by mutations in the lysosomal trafficking regulator gene, LYST.	1	24	24	Chediak-Higashi syndrome	textual	C0007965	chediak-higashi syndrome			
41	10425038	1	The gene for ataxia-telangiectasia, ATM, spans about 150 kb of genomic DNA.	14	34	21	ataxia-telangiectasia	textual	C0004135	Ataxia Telangiectasia			
42	10426999	1	BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.	53	87	35	familial breast and ovarian cancers	intuitive: list is present search of "familial breast cancer" yields correct UMLS code	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
42	10426999	1	BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.	53	87	35	familial breast and ovarian cancers	intuitive - list is present	C1833686	OVARIAN CANCER, FAMILIA	T0000018 - C0029925, C1140680 		
43	10430841	1	We describe seven Dutch patients from six families with a slowly progressive, mainly spinal cord syndrome that remained for many years the sole expression of cerebrotendinous xanthomatosis CTX.	190	192	3	CTX	textual.  Search yields correct UMLS code, also yields 2 other UMLS codes.	C0238052	Xanthomatosis, Cerebrotendinous			
43	10430841	1	We describe seven Dutch patients from six families with a slowly progressive, mainly spinal cord syndrome that remained for many years the sole expression of cerebrotendinous xanthomatosis CTX.	159	188	30	cerebrotendinous xanthomatosis	textual	C0238052	Xanthomatosis, Cerebrotendinous			
44	10441329	2	Mutations in the ATP7B gene lead to Wilson disease, a copper toxicity disorder characterized by dramatic build-up of intracellular hepatic copper with subsequent hepatic and neuro-logical abnormalities.	37	50	14	Wilson disease	textual	C0019202	Hepatolenticular Degeneration			
